232			7				16				7			8
230			7				16				6			8
228			7				14				8			7
220			7				12				10			8
228			7				16				6			7
240			7				16				9			8
														
45			6				2				12			2
42			6				3				11			3
52			6				3				9			3
49			6				2				10			3
68			7				8				14			1
46			6				3				9			3
														
49			8				1				9			3
45			9				2				10			2
58			8				5				16			2
54			8				3				14			3
55			8				1				12			3
56			7				4				10			3
														
														
124			4				5				8			2
125			6				5				9			2
128			4				4				8			3
130			4				5				9			2
124			4				3				8			1
														
89			4				5				9			7
90			5				5				11			6
88			4				5				10			7
92			3				4				9			7
89			4				4				8			6
87			4				5				12			7

